# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Apr  3 02:12:56 IST 2021
#
At utterance begin, sil accounts for 99.9% of phone occurrences, with duration (median, mean, 95-percentile) is (79,87.2,166) frames.
At utterance end, sil accounts for 95.4% of phone occurrences, with duration (median, mean, 95-percentile) is (85,105.6,269) frames.
At utterance end, nonsilence accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (19,18.3,31) frames.
At utterance end, e_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (20,19.6,33) frames.
At utterance end, u_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.4,26) frames.
Overall, nonsilence accounts for 84.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,18) frames.
Overall, eu_I accounts for 8.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,7) frames.
Overall, sil accounts for 6.3% of phone occurrences, with duration (median, mean, 95-percentile) is (45,63.0,177) frames.
Overall, i_I accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,9) frames.
Overall, r_I accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, aa_I accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,14) frames.
Overall, t_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
Overall, d_I accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,13) frames.
Overall, l_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
Overall, g_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,13) frames.
Overall, n_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,13) frames.
Overall, u_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,23) frames.
